,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Time_taken(min),prediction
7823,78B9,BANGRES16DEL02,34,4.6,13.029198,77.570997,13.079198,77.620997,Buffet ,scooter ,19,19.090565
31361,A832,INDORES16DEL02,21,4.5,22.744648,75.894377,22.794648,75.944377,Meal ,scooter ,11,10.939624
41595,396D,RANCHIRES13DEL02,35,4.6,23.374989,85.335486,23.504989,85.465486,Snack ,scooter ,47,47.189342
38123,C78,VADRES02DEL01,31,4.8,0.0,0.0,0.11,0.11,Buffet ,scooter ,22,22.060421
1598,780D,RANCHIRES15DEL02,24,4.6,23.369746,85.33982,23.499746,85.46982,Buffet ,electric_scooter ,33,33.00212
37730,DD4B,BHPRES04DEL03,34,4.9,23.184992,77.417227,23.274992,77.507227,Meal ,scooter ,28,28.055965
28668,363B,HYDRES06DEL03,32,4.6,17.455894,78.375467,17.545894,78.465467,Buffet ,motorcycle ,40,40.19658
8779,6720,MUMRES06DEL01,39,4.7,19.055831,72.833984,19.095831,72.873984,Drinks ,motorcycle ,23,23.14118
41331,65F,PUNERES19DEL03,29,4.6,18.563934,73.915367,18.653934,74.005367,Snack ,electric_scooter ,20,19.850994
25219,3B59,MUMRES18DEL02,38,4.5,19.1093,72.825451,19.1593,72.875451,Buffet ,motorcycle ,26,26.16404
43211,6A89,RANCHIRES14DEL02,37,5.0,0.0,0.0,0.05,0.05,Snack ,motorcycle ,44,43.56187
23571,17BF,RANCHIRES09DEL01,26,4.2,23.351058,85.325731,23.461058,85.435731,Meal ,electric_scooter ,35,34.994797
10042,2.7E+07,JAPRES06DEL02,20,4.5,26.911927,75.797282,26.991927,75.877282,Drinks ,scooter ,17,17.15564
15841,15C6,MYSRES01DEL02,39,4.7,12.311072,76.654878,12.331072,76.674878,Buffet ,motorcycle ,20,19.830437
38156,232F,INDORES06DEL02,29,4.6,22.728163,75.884212,22.858163,76.014212,Snack ,motorcycle ,37,36.77234
10087,DBD2,KOCRES02DEL03,23,4.5,10.028047,76.310019,10.088047,76.370019,Meal ,scooter ,22,22.04991
11743,6401,MUMRES15DEL02,37,4.5,19.176269,72.836721,19.226269,72.886721,Drinks ,electric_scooter ,21,21.113611
43865,6454,INDORES18DEL03,24,4.8,22.753839,75.897429,22.813838,75.957429,Drinks ,scooter ,23,23.151405
17784,D0EC,ALHRES15DEL03,25,4.6,25.449872,81.836167,25.509872,81.896167,Meal ,motorcycle ,21,21.113577
27625,4C8B,VADRES07DEL02,34,5.0,0.0,0.0,0.05,0.05,Drinks ,motorcycle ,25,24.981205
8751,C466,AURGRES16DEL01,24,4.8,0.0,0.0,0.07,0.07,Buffet ,scooter ,17,17.15564
4051,D0F0,GOARES19DEL02,35,4.0,0.0,0.0,0.08,0.08,Meal ,motorcycle ,51,51.12357
45435,34C9,MYSRES010DEL02,29,4.9,12.321214,76.621094,12.341214,76.641094,Snack ,motorcycle ,11,10.9934435
10716,3601,VADRES12DEL02,37,4.9,0.0,0.0,0.02,0.02,Meal ,motorcycle ,22,22.053701
9109,8FFB,SURRES13DEL02,28,4.8,21.170096,72.789122,21.220096,72.839122,Snack ,motorcycle ,28,27.875578
9870,3315,RANCHIRES05DEL01,38,4.1,23.355164,85.324097,23.465164,85.434097,Snack ,motorcycle ,35,35.02575
28153,9E+99,INDORES19DEL01,39,4.6,22.745536,75.893106,22.855536,76.003106,Snack ,scooter ,28,28.055965
33530,931D,JAPRES03DEL01,22,4.6,26.913483,75.803139,26.923483,75.813139,Drinks ,electric_scooter ,23,22.903637
1890,A3C1,MYSRES14DEL03,31,4.5,0.0,0.0,0.06,0.06,Meal ,scooter ,29,29.058903
36417,21B5,MUMRES04DEL02,28,4.5,19.254567,72.848923,19.384567,72.978923,Meal ,scooter ,10,10.626296
22221,37CE,VADRES05DEL03,33,4.1,22.310526,73.170937,22.340526,73.200937,Drinks ,motorcycle ,42,41.939068
29298,2641,INDORES12DEL03,32,4.7,22.74806,75.8934,22.83806,75.9834,Buffet ,motorcycle ,26,26.00238
23858,794,COIMBRES16DEL02,27,4.5,11.010375,76.95295,11.140375,77.08295,Drinks ,motorcycle ,21,21.107952
28817,A12C,SURRES14DEL01,23,4.7,21.157729,72.768726,21.197729,72.808726,Buffet ,motorcycle ,22,22.049875
38800,B171,INDORES08DEL02,29,4.3,22.725748,75.898497,22.745748,75.918497,Meal ,motorcycle ,23,22.921125
8332,1F40,BANGRES06DEL02,35,4.4,12.979096,77.640625,13.109096,77.770625,Meal ,motorcycle ,43,43.02076
38535,4BC8,MYSRES05DEL01,21,4.5,12.323978,76.627961,12.433978,76.737961,Snack ,motorcycle ,17,17.155363
2444,248B,JAPRES13DEL02,28,4.7,26.846156,75.8023,26.866156,75.8223,Drinks ,scooter ,18,17.960625
16229,25FF,BANGRES03DEL03,20,4.8,12.979166,77.640709,13.069166,77.730709,Meal ,motorcycle ,26,26.00238
4794,79DD,COIMBRES19DEL01,21,4.8,11.022298,76.998349,11.092298,77.068349,Meal ,scooter ,22,22.060421
11717,A3FB,VADRES13DEL02,31,5.0,22.310237,73.158921,22.440237,73.288921,Buffet ,scooter ,16,16.074812
13028,2234,COIMBRES010DEL01,35,4.8,11.003008,76.97544,11.013008,76.98544,Snack ,scooter ,25,24.955198
27677,ACB1,SURRES02DEL01,29,4.8,21.186608,72.794136,21.256608,72.864136,Drinks ,motorcycle ,22,22.04425
30213,3507,CHENRES14DEL02,33,4.6,13.026279,80.174568,13.106279,80.254568,Drinks ,motorcycle ,25,24.887524
31526,5456,JAPRES02DEL03,28,4.8,26.914142,75.805704,26.944142,75.835704,Buffet ,motorcycle ,20,19.646725
30146,8BB5,RANCHIRES07DEL01,25,4.6,23.359407,85.325055,23.399407,85.365055,Meal ,motorcycle ,24,23.939972
31956,A8DE,RANCHIRES010DEL03,33,4.9,23.354422,85.3329,23.444422,85.4229,Snack ,motorcycle ,33,33.033077
2319,4309,RANCHIRES03DEL01,28,5.0,0.0,0.0,0.11,0.11,Meal ,motorcycle ,28,28.029602
40743,91F,BANGRES18DEL01,29,4.6,12.913041,77.683237,12.953041,77.723237,Drinks ,electric_scooter ,23,23.151405
44679,1AD9,PUNERES09DEL02,38,4.9,18.536562,73.896485,18.666562,74.026485,Snack ,motorcycle ,36,35.9905
13525,70B3,JAPRES16DEL01,30,4.9,26.849596,75.800512,26.959596,75.910512,Snack ,scooter ,29,29.141817
705,500F,HYDRES13DEL03,39,4.5,17.431477,78.40035,17.521477,78.49035,Drinks ,motorcycle ,37,36.77234
28985,1243,MUMRES11DEL01,21,4.6,18.994237,72.825553,19.004237,72.835553,Buffet ,scooter ,15,14.930243
12408,D557,LUDHRES01DEL03,25,4.6,30.873988,75.842739,31.013988,75.982739,Meal ,scooter ,20,19.797277
7484,7456,BANGRES18DEL02,28,4.6,12.913041,77.683237,13.043041,77.813237,Snack ,scooter ,15,14.924707
24978,AC2B,HYDRES06DEL02,24,4.8,17.455894,78.375467,17.585894,78.505467,Drinks ,motorcycle ,27,27.088047
15862,7D01,MYSRES03DEL02,38,4.2,12.299524,76.64262,12.319524,76.66262,Drinks ,motorcycle ,32,32.244724
17000,3660,RANCHIRES17DEL02,25,5.0,23.374878,85.335739,23.454878,85.415739,Meal ,motorcycle ,30,30.025574
12795,1735,SURRES12DEL02,37,4.4,21.183434,72.814492,21.313434,72.944492,Snack ,motorcycle ,36,35.9905
13574,1AD6,VADRES09DEL02,36,4.8,0.0,0.0,0.13,0.13,Meal ,electric_scooter ,21,21.124123
39879,AE93,RANCHIRES02DEL01,36,4.6,0.0,0.0,0.01,0.01,Buffet ,motorcycle ,25,24.995588
1523,B3E6,HYDRES11DEL01,21,4.6,17.430448,78.418213,17.500448,78.488213,Buffet ,motorcycle ,43,43.02076
7757,3E+94,MYSRES14DEL03,38,4.3,0.0,0.0,0.06,0.06,Meal ,scooter ,33,32.93572
19042,5.6E+03,VADRES11DEL03,27,4.6,22.308096,73.167753,22.338096,73.197753,Drinks ,motorcycle ,17,17.000925
16118,A579,MYSRES19DEL02,36,4.6,12.334022,76.618203,12.384022,76.668203,Meal ,electric_scooter ,29,29.058903
3778,2279,RANCHIRES09DEL02,38,4.9,23.351058,85.325731,23.401058,85.375731,Meal ,scooter ,26,26.174265
15289,A515,JAPRES03DEL01,25,4.8,26.913483,75.803139,26.923483,75.813139,Buffet ,motorcycle ,17,17.16356
1547,1F25,MYSRES17DEL03,39,4.8,12.326356,76.619103,12.386356,76.679103,Snack ,scooter ,23,23.151405
31557,B18A,INDORES08DEL01,26,4.2,22.725748,75.898497,22.765747,75.938497,Buffet ,motorcycle ,53,52.163406
37409,5.8E+03,RANCHIRES13DEL01,32,4.9,23.374989,85.335486,23.484989,85.445486,Drinks ,scooter ,27,27.11441
20846,8933,MUMRES09DEL02,21,4.1,18.994049,72.825203,19.044049,72.875203,Snack ,motorcycle ,34,34.05279
22691,1063,CHENRES04DEL03,29,4.6,13.02978,80.208812,13.11978,80.298812,Snack ,bicycle ,26,26.811193
3246,B999,PUNERES12DEL01,21,5.0,18.520016,73.830547,18.560016,73.870547,Buffet ,motorcycle ,25,24.981205
24228,5401,VADRES18DEL03,35,4.5,0.0,0.0,0.03,0.03,Meal ,electric_scooter ,16,15.925627
27522,862F,MYSRES04DEL01,24,4.7,12.3085,76.665808,12.4185,76.775808,Drinks ,motorcycle ,35,35.02575
13320,4D09,MUMRES01DEL02,25,4.4,19.12663,72.829976,19.25663,72.959976,Meal ,electric_scooter ,42,41.95218
41936,29F3,SURRES06DEL01,22,5.0,21.185047,72.80859,21.255047,72.87859,Snack ,motorcycle ,21,21.107952
25050,5C97,PUNERES16DEL01,36,5.0,18.536718,73.830327,18.576718,73.870328,Buffet ,motorcycle ,22,22.049875
7603,AA26,JAPRES02DEL02,26,4.8,26.914142,75.805704,26.964142,75.855704,Buffet ,motorcycle ,29,29.048677
2798,5D57,VADRES04DEL01,21,4.9,0.0,0.0,0.11,0.11,Snack ,motorcycle ,22,22.04425
40590,7199,BANGRES16DEL01,31,5.0,13.029198,77.570997,13.099198,77.640997,Drinks ,motorcycle ,41,41.083363
21431,58CB,CHENRES12DEL02,27,4.8,12.972793,80.249982,13.022793,80.299982,Snack ,motorcycle ,16,15.912927
27458,4572,MUMRES17DEL02,22,4.9,19.121999,72.908493,19.251999,73.038493,Snack ,motorcycle ,34,34.103058
29814,9C6C,JAPRES03DEL03,23,4.7,26.913483,75.803139,27.053483,75.943139,Drinks ,motorcycle ,28,28.029602
16818,1D14,JAPRES07DEL02,20,3.5,26.766536,75.837333,26.846536,75.917333,Drinks ,scooter ,32,32.05689
880,535E,SURRES02DEL01,27,4.6,21.186608,72.794136,21.196608,72.804136,Drinks ,scooter ,12,11.834962
13532,C5A3,DEHRES16DEL02,32,4.8,30.342509,78.061187,30.422509,78.141187,Drinks ,scooter ,15,14.924707
19979,BB3D,MYSRES19DEL03,31,4.9,12.334022,76.618203,12.394022,76.678203,Buffet ,electric_scooter ,34,34.005703
43150,959F,SURRES19DEL03,35,4.3,21.149669,72.772629,21.179669,72.802629,Buffet ,motorcycle ,32,32.336926
8856,509E,MUMRES05DEL01,30,4.9,18.927584,72.832585,18.997584,72.902585,Buffet ,scooter ,36,35.95955
16872,952D,COIMBRES01DEL03,29,4.0,11.016298,76.972076,11.106298,77.062076,Buffet ,scooter ,40,40.136845
43942,7EC8,MYSRES17DEL03,39,4.8,12.326356,76.619103,12.356356,76.649103,Meal ,scooter ,30,30.001165
28932,8DE1,INDORES02DEL02,21,4.9,22.651847,75.881991,22.701847,75.931991,Snack ,motorcycle ,13,13.041017
35242,89D5,SURRES18DEL02,39,5.0,21.149834,72.778666,21.229834,72.858666,Snack ,motorcycle ,23,22.902306
2805,9315,JAPRES03DEL03,30,4.9,26.913483,75.803139,27.003483,75.893139,Drinks ,motorcycle ,44,43.720245
8356,AF84,PUNERES11DEL02,21,4.9,18.533811,73.899315,18.553811,73.919315,Meal ,electric_scooter ,19,19.030708
17021,BBA8,VADRES17DEL02,32,4.9,0.0,0.0,0.08,0.08,Buffet ,scooter ,24,23.872654
37032,67D,INDORES13DEL02,29,4.6,22.745049,75.892471,22.825049,75.972471,Buffet ,motorcycle ,17,17.155363
5425,DEAE,LUDHRES13DEL02,34,3.8,30.893234,75.82172,31.023234,75.95172,Meal ,scooter ,40,40.055004
26354,719B,VADRES16DEL03,25,4.9,0.0,0.0,0.09,0.09,Snack ,scooter ,20,19.850994
8008,4206,VADRES09DEL03,31,4.6,0.0,0.0,0.06,0.06,Snack ,scooter ,27,26.944248
8453,4597,COIMBRES20DEL03,25,4.9,10.994136,76.963303,11.024136,76.993303,Meal ,scooter ,10,10.082401
10579,B36,MYSRES04DEL02,23,4.6,12.3085,76.665808,12.4385,76.795808,Meal ,scooter ,23,22.928667
35792,C9BD,ALHRES08DEL03,26,4.9,25.450329,81.834279,25.510329,81.894279,Drinks ,scooter ,11,10.939624
18248,890A,BANGRES06DEL03,34,4.5,12.979096,77.640625,13.009096,77.670625,Meal ,motorcycle ,24,23.939972
15967,BA26,PUNERES07DEL01,26,4.7,18.546947,73.900626,18.586947,73.940626,Buffet ,scooter ,20,19.840483
34643,6.7E+08,SURRES08DEL01,39,4.7,21.173343,72.792731,21.183343,72.802731,Meal ,scooter ,15,14.930243
20626,7FF0,RANCHIRES20DEL01,36,4.8,23.39925,85.390464,23.40925,85.400464,Snack ,scooter ,22,22.012184
31578,75AA,PUNERES01DEL01,36,4.7,18.569156,73.774723,18.579156,73.784723,Drinks ,motorcycle ,25,24.972687
1612,BE9F,RANCHIRES010DEL02,24,4.6,23.354422,85.3329,23.484422,85.4629,Snack ,motorcycle ,20,19.83482
31651,858D,CHENRES18DEL01,30,4.7,12.981615,80.231598,13.051615,80.301598,Snack ,motorcycle ,24,23.846292
1706,A858,JAPRES12DEL01,30,4.7,26.902908,75.792934,26.942908,75.832934,Snack ,motorcycle ,15,14.775452
20570,C95F,KNPRES20DEL02,21,5.0,26.47,80.35,26.52,80.4,Drinks ,scooter ,20,19.840483
21945,66BD,MYSRES05DEL02,36,4.8,12.323978,76.627961,12.453978,76.757961,Buffet ,scooter ,18,17.995632
11714,1329,PUNERES12DEL03,25,4.6,18.520016,73.830547,18.610016,73.920547,Drinks ,motorcycle ,24,23.846292
34752,A1D,COIMBRES07DEL03,24,4.9,10.96185,76.971082,10.99185,77.001082,Drinks ,motorcycle ,28,27.875578
31563,6993,SURRES03DEL02,30,4.9,21.186884,72.793616,21.236884,72.843616,Buffet ,electric_scooter ,18,18.020481
27979,A4A8,INDORES15DEL01,37,4.6,22.760072,75.892574,22.830072,75.962574,Drinks ,motorcycle ,22,22.04425
28081,8358,INDORES18DEL01,33,4.5,22.753839,75.897429,22.793838,75.937429,Drinks ,scooter ,17,17.006456
35322,262A,COIMBRES11DEL02,30,4.6,11.001753,76.986241,11.081753,77.066241,Drinks ,motorcycle ,21,21.107952
26622,27CB,CHENRES05DEL03,25,4.7,13.058616,80.264151,13.118616,80.324151,Snack ,scooter ,27,26.944248
42694,CE1A,KNPRES11DEL02,21,4.6,26.474986,80.342796,26.494986,80.362796,Drinks ,motorcycle ,10,10.169705
39555,8372,RANCHIRES12DEL01,27,4.8,0.0,0.0,0.04,0.04,Buffet ,motorcycle ,15,14.775452
12284,3723,COIMBRES03DEL03,29,4.8,11.025083,77.015393,11.055083,77.045393,Buffet ,scooter ,27,26.944248
40625,8C8B,VADRES11DEL02,23,4.7,22.308096,73.167753,22.388096,73.247753,Snack ,scooter ,36,35.95955
32120,4C9D,PUNERES09DEL02,25,4.6,18.536562,73.896485,18.666562,74.026485,Meal ,motorcycle ,29,29.115454
7221,265F,HYDRES09DEL02,29,4.6,17.431668,78.408321,17.481668,78.458321,Snack ,motorcycle ,27,26.934023
22254,9CCE,SURRES16DEL01,30,4.8,21.160437,72.774209,21.230437,72.844209,Buffet ,motorcycle ,26,26.00238
24389,2D9F,CHENRES19DEL02,20,4.7,12.986047,80.218114,13.006047,80.238114,Drinks ,motorcycle ,17,17.16356
8604,8F2,CHENRES11DEL02,29,4.6,13.064181,80.236442,13.194181,80.366442,Buffet ,scooter ,33,33.00212
20532,BB16,HYDRES03DEL03,32,3.6,17.422819,78.449578,17.512819,78.539578,Snack ,scooter ,37,36.741386
38100,DA56,BHPRES16DEL01,37,4.7,23.264015,77.408236,23.274015,77.418236,Snack ,scooter ,23,22.903637
35491,DBBF,KOLRES03DEL01,20,4.7,22.526461,88.364453,22.536461,88.374453,Buffet ,scooter ,11,10.829355
26692,DCD9,DEHRES010DEL02,38,4.6,30.328174,78.049117,30.378174,78.099117,Snack ,electric_scooter ,19,19.090565
12962,7D06,VADRES09DEL02,37,4.6,0.0,0.0,0.13,0.13,Buffet ,motorcycle ,48,48.09312
37449,6739,VADRES19DEL03,20,4.9,22.311844,73.165081,22.371844,73.225081,Snack ,motorcycle ,20,19.840448
34027,B137,MUMRES14DEL03,35,4.2,19.1813,72.836191,19.2113,72.866191,Meal ,motorcycle ,33,32.982807
42189,9B8,MYSRES12DEL03,34,4.7,12.284747,76.625861,12.374747,76.715861,Meal ,motorcycle ,47,47.332565
19559,AFF5,JAPRES05DEL03,39,4.7,26.905287,75.794592,27.045287,75.934592,Drinks ,motorcycle ,34,34.103058
13564,98C9,RANCHIRES12DEL03,37,4.9,0.0,0.0,0.09,0.09,Meal ,electric_scooter ,23,22.928667
33683,6D1F,COIMBRES09DEL02,33,5.0,11.008638,76.984311,11.058638,77.034311,Snack ,motorcycle ,17,16.993757
25639,7DEB,MYSRES17DEL03,22,4.7,12.326356,76.619103,12.416356,76.709103,Buffet ,motorcycle ,42,42.090275
42494,7C08,BANGRES19DEL02,25,4.9,12.914264,77.6784,12.964264,77.7284,Buffet ,scooter ,15,14.788152
22384,B3D0,COIMBRES09DEL01,30,4.8,11.008638,76.984311,11.118638,77.094311,Drinks ,scooter ,25,24.913887
31330,6F30,RANCHIRES11DEL01,32,4.3,23.359194,85.325447,23.469194,85.435447,Buffet ,motorcycle ,42,42.090275
45347,7BA,RANCHIRES18DEL01,24,4.8,23.351489,85.324253,23.361489,85.334253,Meal ,motorcycle ,15,14.945256
21990,6F2E,MUMRES14DEL01,27,4.7,19.1813,72.836191,19.2513,72.906191,Snack ,motorcycle ,29,29.115454
10493,B610,MYSRES15DEL03,24,3.4,12.352058,76.60665,12.442058,76.69665,Buffet ,scooter ,38,38.188335
30829,D04C,KNPRES01DEL01,22,4.7,26.483672,80.320708,26.553672,80.390708,Buffet ,electric_scooter ,18,17.995632
17811,656E,RANCHIRES04DEL02,31,5.0,23.359033,85.325347,23.379033,85.345347,Meal ,electric_scooter ,16,16.06772
42338,671,SURRES07DEL01,29,4.6,21.170798,72.790489,21.180798,72.800489,Drinks ,scooter ,10,9.916321
26286,9799,MYSRES16DEL02,26,4.7,12.316967,76.603067,12.336967,76.623067,Snack ,electric_scooter ,18,17.960625
6883,459A,PUNERES03DEL03,20,4.6,18.554382,73.798206,18.614382,73.858206,Snack ,motorcycle ,16,15.912927
8371,1D6B,VADRES15DEL03,37,4.8,0.0,0.0,0.06,0.06,Buffet ,electric_scooter ,20,19.840483
33479,C5FB,AGRRES08DEL02,38,4.8,27.160934,78.044095,27.210934,78.094095,Buffet ,motorcycle ,18,18.007782
38826,6F38,RANCHIRES20DEL03,25,4.5,23.39925,85.390464,23.45925,85.450464,Drinks ,electric_scooter ,16,15.925627
14641,EE4,SURRES05DEL03,20,4.6,21.175104,72.804342,21.235104,72.864342,Drinks ,motorcycle ,23,23.14118
576,A14D,MYSRES01DEL02,32,3.6,12.311072,76.654878,12.441072,76.784878,Meal ,scooter ,39,38.854927
33961,9D08,MYSRES09DEL03,35,4.2,12.323194,76.630583,12.413194,76.720583,Drinks ,electric_scooter ,35,34.994797
2924,C496,DEHRES15DEL01,32,4.7,0.0,0.0,0.07,0.07,Drinks ,motorcycle ,25,24.887524
44840,8E9C,PUNERES15DEL02,24,4.8,18.636215,73.751081,18.716215,73.831081,Meal ,motorcycle ,22,22.04425
22607,69F9,RANCHIRES17DEL01,21,4.8,23.374878,85.335739,23.444878,85.405739,Snack ,electric_scooter ,14,14.064642
32507,6B7A,VADRES12DEL03,20,4.7,0.0,0.0,0.06,0.06,Snack ,motorcycle ,21,21.113577
2411,9491,MUMRES08DEL02,26,4.9,19.065838,72.832658,19.195838,72.962658,Meal ,motorcycle ,36,35.9905
26073,9D07,PUNERES02DEL02,21,4.9,18.55144,73.804855,18.68144,73.934855,Meal ,motorcycle ,22,22.04425
44779,7545,RANCHIRES03DEL01,27,4.6,0.0,0.0,0.07,0.07,Drinks ,scooter ,17,17.15564
42954,1A17,MYSRES11DEL02,34,4.5,12.323225,76.630028,12.343225,76.650028,Snack ,scooter ,15,14.930243
21339,1EBA,HYDRES20DEL03,29,4.6,17.483216,78.552111,17.573216,78.642111,Drinks ,scooter ,28,28.055965
2947,67F4,HYDRES06DEL01,33,4.6,17.455894,78.375467,17.465894,78.385467,Snack ,electric_scooter ,18,17.960625
18553,C4B7,BHPRES03DEL03,22,4.6,23.214294,77.435361,23.244294,77.465361,Buffet ,motorcycle ,33,32.989975
5601,7C7F,HYDRES010DEL01,33,4.7,17.428294,78.404423,17.438294,78.414423,Snack ,scooter ,19,19.030708
24441,859,MYSRES05DEL02,33,4.3,12.323978,76.627961,12.373978,76.677961,Meal ,scooter ,33,32.93572
31170,72A6,HYDRES14DEL03,35,4.0,17.426228,78.407495,17.516228,78.497495,Drinks ,motorcycle ,44,43.720245
24639,AAE7,BANGRES05DEL02,30,4.9,12.970324,77.645748,13.050324,77.725748,Meal ,scooter ,25,24.913887
30384,237C,HYDRES06DEL01,25,4.9,17.455894,78.375467,17.465894,78.385467,Drinks ,scooter ,17,17.148546
20326,2496,COIMBRES06DEL01,38,4.6,11.021278,76.995017,11.131278,77.105017,Meal ,scooter ,41,40.945267
26604,C1BB,GOARES11DEL03,22,4.9,15.544419,73.755736,15.574419,73.785736,Drinks ,scooter ,22,22.04991
11040,B522,RANCHIRES01DEL02,36,4.8,23.416792,85.316842,23.436792,85.336842,Buffet ,motorcycle ,27,26.93184
31125,76AE,RANCHIRES05DEL02,32,4.8,23.355164,85.324097,23.405164,85.374097,Buffet ,motorcycle ,22,22.049875
23679,5471,HYDRES02DEL03,29,4.9,17.41233,78.449654,17.47233,78.509654,Buffet ,motorcycle ,19,19.077866
22779,2BE4,MYSRES02DEL01,25,4.8,12.304569,76.643622,12.414569,76.753622,Meal ,motorcycle ,32,32.163193
5599,C45D,DEHRES01DEL02,29,5.0,0.0,0.0,0.05,0.05,Snack ,scooter ,15,14.788152
40594,7E+00,SURRES02DEL03,34,4.8,21.186608,72.794136,21.246608,72.854136,Snack ,scooter ,31,30.874472
14275,9909,VADRES19DEL02,27,4.5,22.311844,73.165081,22.441844,73.295081,Meal ,motorcycle ,34,34.103058
40949,2ACF,RANCHIRES11DEL03,34,4.3,23.359194,85.325447,23.419194,85.385447,Buffet ,motorcycle ,39,38.872242
3183,8C0C,SURRES17DEL01,38,4.2,21.149569,72.772697,21.219569,72.842697,Meal ,motorcycle ,40,40.19658
18172,C8FD,BHPRES14DEL02,32,4.6,0.0,0.0,0.02,0.02,Drinks ,scooter ,19,19.028048
31378,BC4C,SURRES20DEL01,34,3.9,21.15276,72.778059,21.26276,72.888059,Drinks ,scooter ,31,30.716867
32138,82FF,COIMBRES13DEL02,30,3.9,11.003669,76.976494,11.133669,77.106494,Buffet ,scooter ,35,34.994797
4164,868,SURRES07DEL02,29,4.6,21.170798,72.790489,21.250798,72.870489,Buffet ,motorcycle ,44,43.720245
18786,E24E,ALHRES09DEL02,38,4.9,0.0,0.0,0.13,0.13,Drinks ,motorcycle ,53,52.716812
40856,7873,PUNERES08DEL02,21,4.7,18.53408,73.89852,18.55408,73.91852,Drinks ,scooter ,13,12.849163
10535,2ACD,PUNERES16DEL01,30,4.0,18.536718,73.830327,18.546719,73.840328,Buffet ,motorcycle ,31,30.904705
40107,56BA,JAPRES02DEL03,30,4.8,26.914142,75.805704,27.054142,75.945704,Meal ,scooter ,38,38.188335
19719,6A44,JAPRES19DEL01,29,5.0,26.913726,75.75282,27.023726,75.86282,Meal ,motorcycle ,33,33.033077
24779,8971,RANCHIRES15DEL02,22,4.7,23.369746,85.33982,23.419746,85.38982,Snack ,motorcycle ,28,27.875578
4200,4A24,BANGRES09DEL02,28,4.8,12.934179,77.615797,13.014179,77.695797,Drinks ,motorcycle ,25,24.887524
15992,7875,BANGRES14DEL02,20,4.5,12.949934,77.699386,12.969934,77.719386,Meal ,scooter ,16,16.06772
21093,18EA,MUMRES09DEL01,37,4.6,18.994049,72.825203,19.004049,72.835203,Snack ,scooter ,20,19.802757
24381,7EF3,VADRES13DEL03,30,4.7,22.310237,73.158921,22.370237,73.218921,Drinks ,scooter ,22,22.04991
11068,1D04,VADRES16DEL03,28,4.9,0.0,0.0,0.06,0.06,Buffet ,motorcycle ,25,24.981205
8228,16B0,INDORES11DEL01,29,4.6,22.751234,75.88949,22.791234,75.92949,Buffet ,scooter ,31,30.874472
10274,5991,CHENRES03DEL03,33,4.7,13.091809,80.219104,13.121809,80.249104,Buffet ,scooter ,17,17.006456
24176,A316,MYSRES04DEL01,38,4.4,12.3085,76.665808,12.3185,76.675808,Meal ,scooter ,33,32.79515
43580,6188,CHENRES12DEL01,29,4.6,12.972793,80.249982,13.082793,80.359982,Drinks ,scooter ,22,22.060421
38517,16B1,MYSRES13DEL02,29,4.6,12.310972,76.659264,12.390972,76.739264,Buffet ,scooter ,33,33.00212
43265,5030,BANGRES12DEL02,24,4.7,12.939496,77.625999,13.019496,77.705999,Snack ,motorcycle ,33,33.033077
4796,3287,VADRES06DEL01,25,4.4,22.31279,73.170283,22.35279,73.210283,Drinks ,motorcycle ,34,34.05279
3757,D44A,KNPRES08DEL01,27,4.7,0.0,0.0,0.01,0.01,Meal ,electric_scooter ,11,10.829355
8815,10FC,JAPRES03DEL02,34,4.2,26.913483,75.803139,27.043483,75.933139,Snack ,motorcycle ,32,32.163193
12029,DCCF,DEHRES12DEL01,38,4.8,0.0,0.0,0.04,0.04,Meal ,motorcycle ,28,27.875578
35218,3742,HYDRES15DEL01,28,4.8,17.45971,78.368855,17.49971,78.408855,Buffet ,scooter ,19,19.090565
43139,A585,HYDRES19DEL03,26,4.5,17.458998,78.500366,17.518998,78.560366,Meal ,motorcycle ,15,14.775452
28017,A98E,CHENRES16DEL03,35,4.8,13.049645,80.242268,13.139645,80.332268,Snack ,scooter ,29,29.141817
8742,CD80,BHPRES19DEL03,25,4.7,0.0,0.0,0.09,0.09,Meal ,scooter ,18,17.995632
7420,7563,VADRES01DEL02,26,4.9,22.307898,73.167788,22.437898,73.297788,Buffet ,motorcycle ,26,26.00238
27953,B36C,MUMRES05DEL01,33,4.7,18.927584,72.832585,19.037584,72.942585,Meal ,scooter ,28,28.055965
19258,54D0,INDORES17DEL01,37,4.9,22.761226,75.887522,22.801226,75.927522,Meal ,motorcycle ,28,27.875578
20310,3E+76,MUMRES09DEL02,35,4.7,18.994049,72.825203,19.044049,72.875203,Meal ,motorcycle ,40,40.15416
39036,40D9,PUNERES19DEL01,35,5.0,18.563934,73.915367,18.633934,73.985367,Snack ,electric_scooter ,49,48.9558
39352,D092,KNPRES16DEL03,27,4.4,26.482581,80.315628,26.512581,80.345628,Snack ,motorcycle ,17,17.000925
29778,CF3C,KOLRES01DEL03,22,4.8,22.514688,88.393294,22.544688,88.423294,Buffet ,scooter ,15,14.788152
22137,D655,GOARES08DEL02,23,4.7,15.556561,73.763633,15.636561,73.843633,Drinks ,motorcycle ,14,14.198238
